DEM,Runoff,FCO,Faults,Slope,SPI,TWI,Rain,TRI,UD,Aspect,Curvature,NDVI,Manning,FLOOD
1890,854.9569702,4.7871799,669.3889771,1.982527137,0.692297,8.374107361,48,0.513733447,44.84996796,103.8672562,-0.080078125,0.414068,0.050000001,1
1889,975.7919922,4.72331,564.8410034,1.106912971,1.1592799,9.912691116,48,0.48732394,45.1636467,71.56504822,-0.039550781,0.422347,0.050000001,1
1890,854.9569702,4.7871799,669.3889771,3.231534481,7.3397799,9.571259499,57,0.547515273,33.7150116,351.9984436,-3.399414063,0.475894,0.050000001,1
1886,949.4509888,4.60811,404.7380066,1.974645853,8.6192904,10.70048141,68,0.484375,43.05821991,180.72612,-0.560546875,0.379228,0.050000001,1
1900,178.6000061,1.29004,950.2360229,0.446695,0.0389816,8.948447227,68,0.501018345,39.93029785,116.5825577,0.000488281,0.589128,0.050000001,1
1886,949.4509888,4.60811,404.7380066,0.269521177,0,8.760541916,48,0.520325184,47.43917847,68.19859314,0.080078125,0.372101,0.050000001,1
1886,949.4509888,4.60811,404.7380066,7.918898106,4.1728601,7.319704056,57,0.64430505,34.76230621,32.88779449,2.238769531,0.387949,0.050000001,1
1858,431.0509949,2.5443399,2475.840088,2.164442539,1.1338201,8.622713089,48,0.46995306,43.664505,83.36898041,0.240234375,0.563044,0.050000001,1
1895,320.0390015,3.3315401,1208.150024,7.918898106,4.1728601,7.319704056,57,0.64430505,34.76230621,32.88779449,2.238769531,0.387949,0.050000001,1
1858,431.0509949,2.5443399,2475.840088,2.651650429,2.0840499,8.776129723,48,0.520753384,44.03873825,135,-0.159667969,0.423131,0.050000001,1
1858,431.0509949,2.5443399,2475.840088,7.918898106,4.1728601,7.319704056,57,0.64430505,34.76230621,32.88779449,2.238769531,0.387949,0.050000001,1
1877,893.1229858,2.1989,242.2660065,1.106912971,1.1592799,9.912691116,48,0.48732394,45.1636467,71.56504822,-0.039550781,0.422347,0.050000001,1
1853,1100.77002,2.9649999,3390.370117,0.446695,0.0389816,8.948447227,68,0.501018345,39.93029785,116.5825577,0.000488281,0.589128,0.050000001,1
1861,13,4.61099,792.5479736,7.918898106,4.1728601,7.319704056,57,0.64430505,34.76230621,32.88779449,2.238769531,0.387949,0.050000001,1
1861,13,4.61099,792.5479736,0.446695,0.0389816,8.948447227,68,0.501018345,39.93029785,116.5825577,0.000488281,0.589128,0.050000001,1
1861,13,4.61099,792.5479736,1.982527137,0.692297,8.374107361,48,0.513733447,44.84996796,103.8672562,-0.080078125,0.414068,0.050000001,1
1861,13,4.61099,792.5479736,7.918898106,4.1728601,7.319704056,57,0.64430505,34.76230621,32.88779449,2.238769531,0.387949,0.050000001,1
1861,13,4.61099,792.5479736,1.106912971,1.1592799,9.912691116,48,0.48732394,45.1636467,71.56504822,-0.039550781,0.422347,0.050000001,1
